Slang,Makna,No_Konteks,Konteks
ilux,,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
kb,kelompok bermain,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
tk,taman anak-anak,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
ya,ya,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
ngerti,mengarti,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
ku,aku,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
stress,stres,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
nya,nya,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
conversation,percakapan,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
ngga,tidak,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
response,tanggapan,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
btc,,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
yg,yang,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
handle,menangani,0,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle."
et,,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
gw,aku,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
ngefollow,mengikuti,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
quotes,kutipan,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
krn,karena,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
angst,kegelisahan,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
trus,terus,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
levihan,,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
aesthetic,estetis,1,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭 *krn gw haus Levihan yg aesthetic 😌"
rossy,,2,"Rossy setahun di laut betah, cuma pas pulang agak depresi kayanya. https://t.co/cXvxtbhNO3"
link,,2,"Rossy setahun di laut betah, cuma pas pulang agak depresi kayanya. https://t.co/cXvxtbhNO3"
jbjb,nimbrung,3,"Sebenarnya aku jarang jbjb. Aku toh lagi stress, sama depresi makanya sulit buat bergaul dulu.ditambah kesibukan mana sempat buat jbjb yang lain maaf jika aku toh gak sebaik itu"
gak,tidak,3,"Sebenarnya aku jarang jbjb. Aku toh lagi stress, sama depresi makanya sulit buat bergaul dulu.ditambah kesibukan mana sempat buat jbjb yang lain maaf jika aku toh gak sebaik itu"
stressawarenessmonth,,4,"Apakah kamu sedang banyak masalah, sampai-sampai merasa depresi? Sebagai orang Kristen, apa yang harus kita lakukan untuk mengatasinya? Berikut ini caranya https://t.co/kPiF3DUPIy #StressAwarenessMonth #depresion #stressmanagement #jawabancom"
depresion,depresi,4,"Apakah kamu sedang banyak masalah, sampai-sampai merasa depresi? Sebagai orang Kristen, apa yang harus kita lakukan untuk mengatasinya? Berikut ini caranya https://t.co/kPiF3DUPIy #StressAwarenessMonth #depresion #stressmanagement #jawabancom"
stressmanagement,,4,"Apakah kamu sedang banyak masalah, sampai-sampai merasa depresi? Sebagai orang Kristen, apa yang harus kita lakukan untuk mengatasinya? Berikut ini caranya https://t.co/kPiF3DUPIy #StressAwarenessMonth #depresion #stressmanagement #jawabancom"
jawabancom,,4,"Apakah kamu sedang banyak masalah, sampai-sampai merasa depresi? Sebagai orang Kristen, apa yang harus kita lakukan untuk mengatasinya? Berikut ini caranya https://t.co/kPiF3DUPIy #StressAwarenessMonth #depresion #stressmanagement #jawabancom"
pr,pekerjaan rumah,5,"Menurut penelitian, PR terlalu banyak sebenarnya dapat menyebabkan siswa menjadi stres, depresi &amp; mendapat nilai lebih rendah."
ngerasa,merasa,6,Akhir akhir ini sering ngerasa depresi
iyaa,iya,7,Iyaa kay... semangtt yuk biar ga depresi para ibu muda
kay,,7,Iyaa kay... semangtt yuk biar ga depresi para ibu muda
semangtt,semangat,7,Iyaa kay... semangtt yuk biar ga depresi para ibu muda
ga,tidak,7,Iyaa kay... semangtt yuk biar ga depresi para ibu muda
gitu,begitu,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
kegakbeneran,tidak benarnya,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
ortu,orang tua,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
bundir,bunuh diri,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
ngerasain,merasakan,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
refreshing,menyegarkan,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
mulu,melulu,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
yaudah,ya sudah,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
si,si,8,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak."
gimana,bagaimana,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
nct,,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
eren,,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
jaeger,,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
dr,dari,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
strange,asing,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
jg,juga,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
liatin,melihati,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
draco,,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
malfoy,,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
arghhh,ah,9,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟"
bner,benar,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
lg,lagi,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
struggle,berjuang,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
stuck,macet,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
enjoy,menikmati,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
ajh,saja,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
klo,kalau,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
dipikirin,dipikirkan,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
wkwk,tawa,10,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌"
sm,sama,12,"Bicara sm orang dewasa yg udah depresi, bikin sedih yaa. Semoga jiwa dan raga kita tetap sehat ya men."
udah,sudah,12,"Bicara sm orang dewasa yg udah depresi, bikin sedih yaa. Semoga jiwa dan raga kita tetap sehat ya men."
yaa,ya,12,"Bicara sm orang dewasa yg udah depresi, bikin sedih yaa. Semoga jiwa dan raga kita tetap sehat ya men."
