kernel,C,degree,gamma,mean_accuracy,mean_precision,mean_recall,mean_f1
poly,10,3,0.1,0.432,0.758,0.388,0.291
poly,10,3,0.2,0.434,0.758,0.39,0.293
poly,10,3,0.3,0.451,0.75,0.406,0.322
poly,10,3,0.4,0.5,0.695,0.456,0.404
poly,10,3,0.5,0.591,0.641,0.558,0.554
poly,10,3,0.6,0.603,0.62,0.594,0.593
poly,10,3,0.7,0.587,0.628,0.602,0.588
poly,10,3,0.8,0.572,0.624,0.591,0.574
poly,10,3,0.9,0.571,0.624,0.59,0.574
poly,10,3,1.0,0.57,0.623,0.589,0.573
poly,30,3,0.1,0.432,0.758,0.388,0.291
poly,30,3,0.2,0.45,0.75,0.405,0.321
poly,30,3,0.3,0.531,0.681,0.488,0.451
poly,30,3,0.4,0.607,0.628,0.593,0.593
poly,30,3,0.5,0.58,0.626,0.597,0.582
poly,30,3,0.6,0.571,0.624,0.59,0.574
poly,30,3,0.7,0.57,0.622,0.589,0.572
poly,30,3,0.8,0.57,0.623,0.589,0.572
poly,30,3,0.9,0.57,0.623,0.589,0.572
poly,30,3,1.0,0.57,0.623,0.589,0.572
poly,90,3,0.1,0.438,0.76,0.393,0.299
poly,90,3,0.2,0.516,0.687,0.472,0.428
poly,90,3,0.3,0.601,0.619,0.601,0.595
poly,90,3,0.4,0.571,0.624,0.59,0.574
poly,90,3,0.5,0.57,0.622,0.589,0.572
poly,90,3,0.6,0.57,0.623,0.589,0.572
poly,90,3,0.7,0.57,0.623,0.589,0.572
poly,90,3,0.8,0.57,0.623,0.589,0.572
poly,90,3,0.9,0.57,0.623,0.589,0.572
poly,90,3,1.0,0.57,0.623,0.589,0.572
poly,270,3,0.1,0.451,0.75,0.406,0.322
poly,270,3,0.2,0.603,0.62,0.594,0.593
poly,270,3,0.3,0.571,0.623,0.59,0.573
poly,270,3,0.4,0.57,0.623,0.589,0.572
poly,270,3,0.5,0.57,0.623,0.589,0.572
poly,270,3,0.6,0.57,0.623,0.589,0.572
poly,270,3,0.7,0.57,0.623,0.589,0.572
poly,270,3,0.8,0.57,0.623,0.589,0.572
poly,270,3,0.9,0.569,0.622,0.588,0.571
poly,270,3,1.0,0.569,0.622,0.588,0.571
poly,810,3,0.1,0.531,0.681,0.488,0.451
poly,810,3,0.2,0.571,0.623,0.59,0.573
poly,810,3,0.3,0.57,0.623,0.589,0.572
poly,810,3,0.4,0.57,0.623,0.589,0.572
poly,810,3,0.5,0.57,0.623,0.589,0.572
poly,810,3,0.6,0.569,0.622,0.588,0.571
poly,810,3,0.7,0.569,0.622,0.588,0.571
poly,810,3,0.8,0.569,0.622,0.588,0.571
poly,810,3,0.9,0.569,0.622,0.588,0.571
poly,810,3,1.0,0.569,0.622,0.588,0.571
poly,2430,3,0.1,0.601,0.619,0.601,0.595
poly,2430,3,0.2,0.57,0.623,0.589,0.572
poly,2430,3,0.3,0.57,0.623,0.589,0.572
poly,2430,3,0.4,0.569,0.622,0.588,0.571
poly,2430,3,0.5,0.569,0.622,0.588,0.571
poly,2430,3,0.6,0.569,0.622,0.588,0.571
poly,2430,3,0.7,0.569,0.622,0.588,0.571
poly,2430,3,0.8,0.569,0.622,0.588,0.571
poly,2430,3,0.9,0.569,0.622,0.588,0.571
poly,2430,3,1.0,0.569,0.622,0.588,0.571
poly,7290,3,0.1,0.57,0.623,0.589,0.573
poly,7290,3,0.2,0.57,0.623,0.589,0.572
poly,7290,3,0.3,0.569,0.622,0.588,0.571
poly,7290,3,0.4,0.569,0.622,0.588,0.571
poly,7290,3,0.5,0.569,0.622,0.588,0.571
poly,7290,3,0.6,0.569,0.622,0.588,0.571
poly,7290,3,0.7,0.569,0.622,0.588,0.571
poly,7290,3,0.8,0.569,0.622,0.588,0.571
poly,7290,3,0.9,0.569,0.622,0.588,0.571
poly,7290,3,1.0,0.569,0.622,0.588,0.571
poly,10000,3,0.1,0.57,0.623,0.589,0.573
poly,10000,3,0.2,0.57,0.623,0.589,0.572
poly,10000,3,0.3,0.569,0.622,0.588,0.571
poly,10000,3,0.4,0.569,0.622,0.588,0.571
poly,10000,3,0.5,0.569,0.622,0.588,0.571
poly,10000,3,0.6,0.569,0.622,0.588,0.571
poly,10000,3,0.7,0.569,0.622,0.588,0.571
poly,10000,3,0.8,0.569,0.622,0.588,0.571
poly,10000,3,0.9,0.569,0.622,0.588,0.571
poly,10000,3,1.0,0.569,0.622,0.588,0.571
