kernel,C,gamma,mean_accuracy,mean_precision,mean_recall,mean_f1
rbf,10,0.01,0.657,0.665,0.641,0.636
rbf,10,0.02,0.668,0.665,0.653,0.65
rbf,10,0.04,0.676,0.665,0.659,0.657
rbf,10,0.08,0.673,0.661,0.654,0.654
rbf,10,0.16,0.675,0.665,0.654,0.655
rbf,10,0.32,0.661,0.654,0.632,0.631
rbf,10,0.64,0.619,0.628,0.58,0.57
rbf,10,1.0,0.583,0.614,0.54,0.521
rbf,20,0.01,0.67,0.667,0.654,0.651
rbf,20,0.02,0.676,0.665,0.659,0.658
rbf,20,0.04,0.672,0.661,0.655,0.654
rbf,20,0.08,0.677,0.666,0.658,0.659
rbf,20,0.16,0.675,0.663,0.654,0.654
rbf,20,0.32,0.658,0.65,0.63,0.63
rbf,20,0.64,0.616,0.627,0.577,0.568
rbf,20,1.0,0.575,0.603,0.533,0.516
rbf,40,0.01,0.677,0.667,0.66,0.658
rbf,40,0.02,0.673,0.661,0.656,0.656
rbf,40,0.04,0.679,0.668,0.663,0.664
rbf,40,0.08,0.681,0.669,0.663,0.663
rbf,40,0.16,0.668,0.656,0.645,0.646
rbf,40,0.32,0.648,0.639,0.621,0.62
rbf,40,0.64,0.604,0.611,0.567,0.558
rbf,40,1.0,0.571,0.598,0.529,0.511
rbf,80,0.01,0.676,0.664,0.66,0.659
rbf,80,0.02,0.681,0.67,0.666,0.666
rbf,80,0.04,0.683,0.671,0.666,0.667
rbf,80,0.08,0.672,0.658,0.652,0.653
rbf,80,0.16,0.668,0.656,0.646,0.646
rbf,80,0.32,0.644,0.636,0.618,0.618
rbf,80,0.64,0.596,0.602,0.559,0.55
rbf,80,1.0,0.57,0.594,0.528,0.511
rbf,160,0.01,0.684,0.674,0.67,0.67
rbf,160,0.02,0.685,0.673,0.669,0.67
rbf,160,0.04,0.676,0.662,0.657,0.658
rbf,160,0.08,0.668,0.655,0.648,0.649
rbf,160,0.16,0.656,0.645,0.634,0.635
rbf,160,0.32,0.638,0.632,0.614,0.615
rbf,160,0.64,0.596,0.6,0.559,0.55
rbf,160,1.0,0.568,0.594,0.526,0.509
rbf,320,0.01,0.684,0.672,0.669,0.669
rbf,320,0.02,0.679,0.668,0.662,0.663
rbf,320,0.04,0.671,0.657,0.652,0.653
rbf,320,0.08,0.659,0.647,0.64,0.641
rbf,320,0.16,0.652,0.641,0.631,0.632
rbf,320,0.32,0.635,0.626,0.609,0.61
rbf,320,0.64,0.596,0.599,0.558,0.549
rbf,320,1.0,0.566,0.592,0.524,0.506
rbf,640,0.01,0.679,0.667,0.663,0.664
rbf,640,0.02,0.671,0.659,0.654,0.655
rbf,640,0.04,0.657,0.646,0.64,0.641
rbf,640,0.08,0.653,0.641,0.635,0.636
rbf,640,0.16,0.645,0.634,0.624,0.625
rbf,640,0.32,0.632,0.622,0.605,0.605
rbf,640,0.64,0.594,0.598,0.557,0.547
rbf,640,1.0,0.567,0.595,0.525,0.508
rbf,1000,0.01,0.676,0.662,0.658,0.659
rbf,1000,0.02,0.663,0.652,0.646,0.647
rbf,1000,0.04,0.651,0.641,0.635,0.635
rbf,1000,0.08,0.65,0.64,0.632,0.633
rbf,1000,0.16,0.644,0.633,0.623,0.623
rbf,1000,0.32,0.625,0.615,0.598,0.597
rbf,1000,0.64,0.595,0.6,0.557,0.547
rbf,1000,1.0,0.567,0.596,0.525,0.507
