kernel,C,degree,gamma,mean_accuracy,mean_precision,mean_recall,mean_f1
poly,10,3,0.1,0.383,0.785,0.357,0.225
poly,10,3,0.2,0.4,0.713,0.374,0.259
poly,10,3,0.3,0.441,0.637,0.417,0.337
poly,10,3,0.4,0.481,0.612,0.459,0.408
poly,10,3,0.5,0.496,0.598,0.474,0.436
poly,10,3,0.6,0.509,0.593,0.489,0.457
poly,10,3,0.7,0.526,0.595,0.507,0.481
poly,10,3,0.8,0.54,0.598,0.521,0.5
poly,10,3,0.9,0.549,0.595,0.531,0.512
poly,10,3,1.0,0.56,0.597,0.541,0.524
poly,30,3,0.1,0.386,0.76,0.361,0.233
poly,30,3,0.2,0.434,0.637,0.41,0.326
poly,30,3,0.3,0.49,0.604,0.468,0.424
poly,30,3,0.4,0.509,0.597,0.488,0.456
poly,30,3,0.5,0.53,0.598,0.51,0.487
poly,30,3,0.6,0.546,0.595,0.526,0.506
poly,30,3,0.7,0.561,0.597,0.542,0.526
poly,30,3,0.8,0.569,0.595,0.551,0.536
poly,30,3,0.9,0.585,0.603,0.568,0.556
poly,30,3,1.0,0.593,0.604,0.577,0.566
poly,90,3,0.1,0.402,0.718,0.377,0.264
poly,90,3,0.2,0.487,0.614,0.465,0.418
poly,90,3,0.3,0.514,0.592,0.494,0.465
poly,90,3,0.4,0.54,0.594,0.521,0.5
poly,90,3,0.5,0.561,0.595,0.543,0.526
poly,90,3,0.6,0.58,0.598,0.562,0.549
poly,90,3,0.7,0.592,0.603,0.576,0.565
poly,90,3,0.8,0.593,0.598,0.576,0.566
poly,90,3,0.9,0.59,0.592,0.573,0.564
poly,90,3,1.0,0.594,0.594,0.577,0.568
poly,270,3,0.1,0.441,0.637,0.417,0.337
poly,270,3,0.2,0.509,0.593,0.489,0.457
poly,270,3,0.3,0.549,0.595,0.531,0.512
poly,270,3,0.4,0.573,0.594,0.555,0.541
poly,270,3,0.5,0.594,0.605,0.578,0.567
poly,270,3,0.6,0.591,0.593,0.573,0.563
poly,270,3,0.7,0.593,0.592,0.576,0.566
poly,270,3,0.8,0.594,0.591,0.576,0.568
poly,270,3,0.9,0.596,0.589,0.577,0.569
poly,270,3,1.0,0.593,0.585,0.574,0.566
poly,810,3,0.1,0.49,0.604,0.468,0.424
poly,810,3,0.2,0.546,0.595,0.526,0.506
poly,810,3,0.3,0.585,0.603,0.568,0.556
poly,810,3,0.4,0.591,0.593,0.574,0.564
poly,810,3,0.5,0.593,0.592,0.576,0.566
poly,810,3,0.6,0.595,0.591,0.577,0.569
poly,810,3,0.7,0.593,0.585,0.574,0.566
poly,810,3,0.8,0.589,0.578,0.569,0.561
poly,810,3,0.9,0.587,0.574,0.566,0.559
poly,810,3,1.0,0.589,0.575,0.568,0.561
poly,2430,3,0.1,0.514,0.592,0.494,0.465
poly,2430,3,0.2,0.58,0.598,0.562,0.549
poly,2430,3,0.3,0.59,0.592,0.573,0.564
poly,2430,3,0.4,0.594,0.591,0.577,0.569
poly,2430,3,0.5,0.591,0.581,0.571,0.563
poly,2430,3,0.6,0.59,0.579,0.569,0.562
poly,2430,3,0.7,0.589,0.576,0.568,0.561
poly,2430,3,0.8,0.588,0.574,0.568,0.562
poly,2430,3,0.9,0.585,0.57,0.564,0.559
poly,2430,3,1.0,0.581,0.565,0.56,0.555
poly,7290,3,0.1,0.549,0.595,0.531,0.512
poly,7290,3,0.2,0.591,0.593,0.573,0.563
poly,7290,3,0.3,0.596,0.589,0.577,0.569
poly,7290,3,0.4,0.589,0.578,0.569,0.561
poly,7290,3,0.5,0.59,0.576,0.569,0.562
poly,7290,3,0.6,0.585,0.571,0.564,0.559
poly,7290,3,0.7,0.58,0.563,0.559,0.553
poly,7290,3,0.8,0.58,0.564,0.56,0.555
poly,7290,3,0.9,0.579,0.562,0.56,0.555
poly,7290,3,1.0,0.579,0.562,0.56,0.555
poly,10000,3,0.1,0.56,0.597,0.541,0.524
poly,10000,3,0.2,0.595,0.595,0.578,0.568
poly,10000,3,0.3,0.593,0.585,0.574,0.566
poly,10000,3,0.4,0.586,0.572,0.565,0.557
poly,10000,3,0.5,0.588,0.574,0.568,0.562
poly,10000,3,0.6,0.582,0.566,0.561,0.555
poly,10000,3,0.7,0.578,0.562,0.558,0.553
poly,10000,3,0.8,0.58,0.563,0.56,0.555
poly,10000,3,0.9,0.579,0.562,0.56,0.555
poly,10000,3,1.0,0.579,0.562,0.56,0.556
