Tweet_ID,Datetime,Username,Text,Sentiment
1.5205536377262735e+18,2022-05-01 00:00:12+00:00,yfnasa,"Padahal ilux baru KB/TK ya mana ngerti begituan. Terus pas cerai itu posisi ternyata tante ku hamil anak kedua. Selalu ingat di otakku seberapa stress depresi nya tante. Diajak conversation saat itu ngga pernah ada response, dikamar terus, kios di BTC entah siapa yg handle.",positive
1.52056133137587e+18,2022-05-01 00:30:46+00:00,SoleilLumina,"Et dah gw jadi ngefollow akun quotes depresi (krn suka angst), trus puisi 😭
*krn gw haus Levihan yg aesthetic 😌",neutral
1.5205628504227512e+18,2022-05-01 00:36:48+00:00,petitegeeky,"Rossy setahun di laut betah, cuma pas pulang agak depresi kayanya. https://t.co/cXvxtbhNO3",neutral
1.5205645758251868e+18,2022-05-01 00:43:40+00:00,raniapj,"Sebenarnya aku jarang jbjb. Aku toh lagi stress, sama depresi makanya sulit buat bergaul dulu.ditambah kesibukan mana sempat buat jbjb yang lain maaf jika aku toh gak sebaik itu",neutral
1.5205646199366902e+18,2022-05-01 00:43:50+00:00,Jawaban,"Apakah kamu sedang banyak masalah, sampai-sampai merasa depresi? Sebagai orang Kristen, apa yang harus kita lakukan untuk mengatasinya? Berikut ini caranya https://t.co/kPiF3DUPIy

#StressAwarenessMonth #depresion #stressmanagement  #jawabancom",neutral
1.5205651809497498e+18,2022-05-01 00:46:04+00:00,FAKTA200,"Menurut penelitian, PR terlalu banyak sebenarnya dapat menyebabkan  siswa menjadi stres, depresi &amp; mendapat nilai lebih rendah.",positive
1.5205679510571295e+18,2022-05-01 00:57:04+00:00,abcdjhx,Akhir akhir ini sering ngerasa depresi,neutral
1.5205694433485496e+18,2022-05-01 01:03:00+00:00,blumingeight,Iyaa kay... semangtt yuk biar ga depresi para ibu muda,positive
1.5205697891601695e+18,2022-05-01 01:04:23+00:00,regalia_wind,"@alifabinaya8 @Syahrizalafand2 @kiaikita Masih beruntung kalo bisa gitu. Yang kasian itu yang jadi korban kegakbeneran ortu. Anak jadi stres, depresi, pengen bundir. Itu anak2 pas dewasa ngerasain trus. Keluar refreshing, balik ribut. Siklus berulang. Apalagi kalo ortu fokus hal negatif2 mulu. Yaudah, ambyar si anak.",positive
1.5205700933062615e+18,2022-05-01 01:05:35+00:00,tobehanist,"sebenarnya gua bingung gua nih apa, bukan gimana mana, kadang gua suka nct, kadang ampe mau mampus liat eren jaeger ganteng banget, kadang depresi liat dr. strange sama loki jg cakep banget, kadang liatin draco malfoy yang arghhh banget, jadi bingung sebenarnya gua suka apa😟",negative
1.5205712248581775e+18,2022-05-01 01:10:05+00:00,abcdefasyaaa,"Hal yang paling aku syukuri saat ini adalah masalah yang gak kelar2, hidup yg bner2 lg struggle, pencapaian yg stuck tapi aku gak merasa keberatan untuk itu dan enjoy ajh hidup padahal klo dipikirin bisa depresi mendekati gila wkwk😌",positive
1.520571232856703e+18,2022-05-01 01:10:07+00:00,waringins17845,@bvcinn Depresi membuatku lupa hari apa ini,neutral
1.5205719383973888e+18,2022-05-01 01:12:55+00:00,trunajawa,"Bicara sm orang dewasa yg udah depresi, bikin sedih yaa.

Semoga jiwa dan raga kita tetap sehat ya men.",neutral
1.5205731172945838e+18,2022-05-01 01:17:36+00:00,banjirfakta,Gua masi depresi chat gyq samq pqel ke delet semha,negative
1.5205759144084357e+18,2022-05-01 01:28:43+00:00,om_abduel,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya..",negative
1.5205786285555384e+18,2022-05-01 01:39:30+00:00,Morren88,@yaelahcan Kenapa abis depresi dibuat mantan ya ?,neutral
1.52058435804151e+18,2022-05-01 02:02:16+00:00,cake_monsters02,@ditamoechtar_ Kalo aku sok healing begini aku bukan healing tapi aku mencoba bundir jalur depresi,negative
1.5205888380321423e+18,2022-05-01 02:20:04+00:00,TimpalBali,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)",neutral
1.5205898956638536e+18,2022-05-01 02:24:16+00:00,bningmynti,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.,positive
1.520590186371248e+18,2022-05-01 02:25:26+00:00,kwekwektha,"Pak, suami bapak boleh ga buat saya aja? Soalnya suami bapak terlihat depresi jika bersama bapak",neutral
1.5205908757886607e+18,2022-05-01 02:28:10+00:00,amelwjyy,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress,positive
1.5205910488791368e+18,2022-05-01 02:28:51+00:00,moonphasey,@giantaubergine kita jadian aja soalnya sama sama depresi wkwk,neutral
1.5205928821258977e+18,2022-05-01 02:36:09+00:00,whinksthetic,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw.",negative
1.520593533459075e+18,2022-05-01 02:38:44+00:00,anisahfitt,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa  bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺",neutral
1.5205936680081244e+18,2022-05-01 02:39:16+00:00,galuhskr,nonton my liberation notes awal awal kek bikin depresi tp lamalamaa seru nyenengin wkwk,positive
1.5205944144474644e+18,2022-05-01 02:42:14+00:00,sumidatoman,"orangtua gue nikah tahun 98, pemberkatan di gereja doang selebihnya resepsi di rumah dibiayain tante gue. Puji Tuhan anaknya gaada yang kurang gizi, pendidikan terjamin, fasilitas cukup, gak ada utang yang bikin depresi",positive
